,ABBREVIATIONS,,,By Megrim & Valkyrial based on original by 44Bananas,ZOOM,,,
Multishot,MS,TOX,Toxin,,,,[ Vintage refers to stats that are no longer able to be rolled.,[ Negative Heavy Attack Efficiency is not ideal for Heavy Attack spamming. Heavy spam builds use Initial Combo
Damage,DMG,ELEC,Electric,Notable contributions by lia,,,Check third sheet at the bottom of this document for a complete list ],which is consumed on heavy attack and regenerates quickly but can be noticeable when spamming ]
Critical Chance,CC,IMP,Impact,Special thanks to Shohei Ohtani,,,,
Critical Damage,CD,PUNC,Puncture,,,,[ Some weapons can roll physical damage types that are not present on them.,"[ Negative Finisher Damage is harmful to [Melee Crescendo] (though it's a niche arcane),"
Status Chance,SC,SL,Slash,For suggestions message megrims. on Discord,,EVEN,There is no logic to it and will be pointed out with a (0%) mark ],"which gives extra Initial Combo on finisher kills, and to single daggers exclusive [Covert Lethality] builds and in general"
Status Duration,SD,MAG,Magazine Capacity,,,,,being the only melee class able to open enemies to finishers on demand with heavy attacks.
Fire Rate,FR,PFS,Projectile Flight Speed,Notes,OUT!!!,MORE,"[ Negative Ammo Max and Magazine Capacity have no effect on all incarnon modes,",Finisher animations used to be easy to enter unintentionally when spamming melee key
Attack Speed,AS,REC,Recoil,,,,but won't have much sale value for rolls other than MS CD CC ],which made it less ideal as a negative. It has been changed to not be able to enter finisher animations
Range,RNG,Z,Zoom,,,NOTES,,with melee key so how harmful it is depends on if you actively want to use finishers ]
Punch Through,PT,DTG,Damage to Grineer,[ MS CD CC and AS RNG CD often have the most sale value,,,[ Fr / Tox for second positive slot is an easy to equip,
Reload Speed,RLS,DTC,Damage to Corpus,regardless of weapon CC being useless ],,⟶,slot-saving alternative on low riven disposition secondaries ],"[ Negative Magazine Capacity has no effect on all non-crossbow bows, having 1 arrow magazines that can't be modified,"
Additional Combo Count Chance,CCC,DTI,Damage to Infested,,,,,and can generally be considered harmless on 1 shot magazine weapons ]
Initial Combo,IC,infl,Specifically for [Melee Influence],[ Weapons with multiple rows are ordered by usability ],,,"[ Generally, except for status priming rolls, +Status Chance rolls want negative Impact or Puncture",
Heavy Attack Efficiency,EFF,inc,Specifically for Incarnon Mode,,,,"for better weighting to increase the proc chance of other damage types, most often slash ]",[ Negative Zoom is popular on snipers for making aiming at close range easier while scoped in for scope bonuses ]
Finisher Damage,FIN,2+1-,2 positives with a negative,[ > & / indicates priority order balanced between sale value and usability ],,,,
Slide Attack Critical Chance,SLIDE,2p1n,,,,,,
Name,Positives,,,Negatives,NOTES,,,
,,,,,,,,
[Acceltra],MS,CD > TOX,CC / TOX > FR / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Ack & Brunt],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Acrid],MS,DMG,SC / TOX / FR,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Aegrit],CD,CC,DMG / TOX / FR,IMP > Z > REC,* MS not ideal for use,,,
,,,,,,,,
,MS*,CD,CC > FR / TOX / SC,,,,,
,,,,,,,,
[Aeolak],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z  > PUNC > REC,,,,
,,,,,,,,
[Afentis],MS,CD / CC,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Afuris],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Akarius],MS,CD,TOX / CC* / DMG / FR / SC,IMP > Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,TOX,DMG / SC / MAG / FR,,,,,
,,,,,,,,
[Akaten],CC,DMG,CD,PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,AS,RNG,CD,,,,,
,,,,,,,,
[Akbolto],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Akbronco],MS,TOX,DMG,IMP* > Z > REC,* -IMP not wanted for Mag bubble but sells well,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Akjagara],MS,CD,CC > FR / TOX / DMG / SC,Z / PFS* > SL > REC,* Vintage negative,,,
,,,,,,,,
[Aklato],MS,CD,CC > FR / TOX / DMG / SC,Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Aklex],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Akmagnus],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* / PUNC > REC,* Vintage negative,,,
,,,,,,,,
[Aksomati],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Akstiletto],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* >REC,* Vintage negative,,,
,,,,,,,,
[Akvasto],MS,CD,CC > FR / TOX / DMG / SC,Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Akzani],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Alternox],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
,MS,DMG,FR / TOX / SC,,,,,
,,,,,,,,
[Amanata],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Ambassador],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
,CC,CD,DMG / TOX / FR,,[Primary Acuity] rolls,,,
,,,,,,,,
[Amphis],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Amprex],MS,CD,CC > TOX / FR /  DMG / SC,Z > REC,,,,
,,,,,,,,
[Anku],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Ankyros],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Angstrum],MS,CD,CC > FR / TOX / DMG / SC,Z > REC > AMMO(inc),,,,
,,,,,,,,
[Arbucep],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Arca Plasmor],MS,CD,CC / FR / TOX / DMG / SC,REC > AMMO,,,,
,,,,,,,,
[Arca Scisco],MS,CD,CC > FR / TOX / DMG /SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Arca Titron],CC,DMG,ELEC(infl) / CD > IC,IMP > SLIDE / FIN / EFF* / SL,* -EFF not ideal for Heavy Attack spam,,,
